name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ugc-try-on-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ugc-try-on-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ugc-tutorial-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ugc-tutorial-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ugc-unboxing-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ugc-unboxing-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ugc-website-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ugc-website-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:video-editing,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/video-editing/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:website-builder,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/website-builder/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:youtube-script,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/youtube-script/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-flow-designer,${HOME}/.codex/skills/app-flow-designer/SKILL.md,,Retained by approved policy; discovery visibility varies
architecture,${HOME}/.codex/skills/architecture/SKILL.md,,Retained by approved policy; discovery visibility varies
architecture-decision-records,${HOME}/.codex/skills/architecture-decision-records/SKILL.md,,Retained by approved policy; discovery visibility varies
